Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-QK-A8ZB	28	5	6	7	34	0	31	0
TCGA-QK-AA3J	24	31	4	15	0	11	0	57
TCGA-QK-AA3K	6	6	11	10	35	0	15	21
TCGA-RS-A6TO	31	41	3	15	82	0	0	0
TCGA-RS-A6TP	60	64	0	23	0	0	0	7
TCGA-T2-A6WX	83	82	5	23	0	0	31	0
TCGA-T2-A6WZ	15	6	7	28	0	17	0	26
TCGA-T2-A6X0	0	8	2	43	9	0	3	0
TCGA-T2-A6X2	214	163	12	2	35	0	0	5
TCGA-T3-A92M	200	81	36	19	10	0	20	13
TCGA-T3-A92N	21	68	9	48	9	0	0	31
TCGA-TN-A7HI	0	13	6	31	0	10	3	0
TCGA-TN-A7HJ	27	46	11	14	3	0	0	0
TCGA-TN-A7HL	313	402	1	2	39	0	2	0
TCGA-UF-A718	1	1	15	13	27	0	0	5
TCGA-UF-A719	0	5	4	29	20	27	24	14
TCGA-UF-A71A	10	14	19	16	46	33	26	57
TCGA-UF-A71B	11	14	0	7	46	18	34	27
TCGA-UF-A71D	22	45	182	60	0	53	112	52
TCGA-UF-A71E	6	15	25	69	0	41	11	27
TCGA-UF-A7J9	63	35	76	28	44	2	0	21
TCGA-UF-A7JA	60	22	35	13	0	0	33	24
TCGA-UF-A7JC	3	8	11	14	0	0	0	24
TCGA-UF-A7JD	2	0	15	6	83	0	0	9
TCGA-UF-A7JF	11	17	18	11	0	34	0	35
TCGA-UF-A7JH	3	8	22	27	10	5	4	5
TCGA-UF-A7JJ	2	0	21	2	10	4	8	7
TCGA-UF-A7JK	1	8	28	52	0	7	0	34
TCGA-UF-A7JO	48	26	11	68	0	6	16	3
TCGA-UF-A7JS	13	2	8	23	0	23	4	6
TCGA-UF-A7JT	75	54	10	45	9	24	2	0
TCGA-UF-A7JV	29	37	0	0	17	0	0	4
